Tip;secao;Data;Loja;Valores
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;PORTAL;
FATURAMENTO;HIGIENE;31/01/2016;PORTAL;
FATURAMENTO;HORT FRUT;31/01/2016;PORTAL;
FATURAMENTO;LEITE;31/01/2016;PORTAL;
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;PORTAL;
FATURAMENTO;OVOS;31/01/2016;PORTAL;
FATURAMENTO;PADARIA INDUSTRIAL;31/01/2016;PORTAL;
FATURAMENTO;PADARIA PROPRIA;31/01/2016;PORTAL;
FATURAMENTO;PAPEL HIGIENICO;31/01/2016;PORTAL;
FATURAMENTO;PAPELARIA;31/01/2016;PORTAL;
FATURAMENTO;PEIXES RESFRIADOS;31/01/2016;PORTAL;
FATURAMENTO;PET SHOP;31/01/2016;PORTAL;
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;PORTAL;
FATURAMENTO;VESTUARIO;31/01/2016;PORTAL;
FATURAMENTO;GERAL;31/01/2016;PORTAL;
FATURAMENTO;AÇOUGUE;31/01/2016;GERAL;1522842,81
FATURAMENTO;ALHO;31/01/2016;GERAL;257133,13
FATURAMENTO;ALIMENTOS DOCE;31/01/2016;GERAL;2619494,74
FATURAMENTO;ALIMENTOS SALGADO;31/01/2016;GERAL;1893698,05
FATURAMENTO;AUTOS;31/01/2016;GERAL;14772,08
FATURAMENTO;BASICO;31/01/2016;GERAL;3905036
FATURAMENTO;BEBIDAS DEST E VINHO;31/01/2016;GERAL;88725,03
FATURAMENTO;BEBIDAS REFRIGERADAS;31/01/2016;GERAL;1250014,02
FATURAMENTO;FRIOS;31/01/2016;GERAL;974963,75
FATURAMENTO;FRIOS ACHOCOLATADOS;31/01/2016;GERAL;57410,29
FATURAMENTO;FRIOS CONGELADOS;31/01/2016;GERAL;2032408,71
FATURAMENTO;FRIOS LATICINIOS;31/01/2016;GERAL;541956,89
FATURAMENTO;HIGIENE;31/01/2016;GERAL;1649104,52
FATURAMENTO;HORT FRUT;31/01/2016;GERAL;3304746,73
FATURAMENTO;LEITE;31/01/2016;GERAL;872847,06
FATURAMENTO;LIMPEZA DOMESTICA;31/01/2016;GERAL;1986337,64
FATURAMENTO;OVOS;31/01/2016;GERAL;207774,26
FATURAMENTO;PADARIA INDUSTRIAL;31/01/2016;GERAL;236088,3
FATURAMENTO;PADARIA PROPRIA;31/01/2016;GERAL;605699,51
FATURAMENTO;PAPEL HIGIENICO;31/01/2016;GERAL;546876,41
